clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
6,70,174,371,177,71,46,30,46,0.6277479529,0.1231069863,0.4228138626,0.3390327394,0.2430385947,0.6023448706,0.1797752827,0.553004384,0.5935515165,0.2787005305,0.4623839855,0.5476306677,0.2970200181,0.3353688419,0.5647288561
6,123,199,228,226,95,48,34,51,0.6191987991,0.1314118207,0.4313629568,0.3390327394,0.2508549094,0.6023448706,0.1890571564,0.553004384,0.5935515165,0.2787005305,0.4623839855,0.5476306677,0.2970200181,0.3353688419,0.5647288561
6,141,151,153,205,100,49,42,67,0.6191987991,0.1314118207,0.4394235611,0.3390327394,0.2591597438,0.6111382246,0.2125061005,0.553004384,0.5935515165,0.2787005305,0.4623839855,0.5559355021,0.2970200181,0.3353688419,0.5564240217
6,158,117,209,141,82,51,39,62,0.6367855668,0.1233512461,0.4567660093,0.3475818336,0.2860283256,0.6189545393,0.2423058152,0.553004384,0.5935515165,0.2967757583,0.4711773396,0.5559355021,0.2970200181,0.3610161245,0.5476306677
6,77,103,214,105,43,58,46,70,0.6463117003,0.1152906716,0.4567660093,0.3475818336,0.2860283256,0.6189545393,0.2423058152,0.553004384,0.5935515165,0.2967757583,0.4711773396,0.5559355021,0.2970200181,0.3610161245,0.5476306677
6,56,95,185,67,44,88,57,77,0.6355642676,0.1152906716,0.4474841356,0.3475818336,0.2860283256,0.6189545393,0.2423058152,0.553004384,0.5935515165,0.2967757583,0.4711773396,0.5559355021,0.2970200181,0.3610161245,0.5476306677
6,64,124,248,108,41,75,50,212,0.6023448706,0.1319003403,0.4127992094,0.3475818336,0.2684416175,0.5852466822,0.2151929587,0.5437225103,0.5935515165,0.2879824042,0.4633610249,0.5559355021,0.2970200181,0.3517342508,0.5559355021
6,79,162,552,221,46,51,69,306,0.5945285559,0.1319003403,0.4035173357,0.3475818336,0.2501221299,0.5534929037,0.1866145581,0.5356619358,0.5935515165,0.27943331,0.4465070963,0.5559355021,0.2970200181,0.3436736763,0.5559355021
6,78,120,421,162,43,65,56,220,0.5945285559,0.1319003403,0.4035173357,0.3475818336,0.2398632169,0.5534929037,0.1866145581,0.5356619358,0.5935515165,0.27943331,0.4465070963,0.5559355021,0.2970200181,0.3436736763,0.5559355021
6,91,86,259,94,53,68,49,169,0.5945285559,0.1319003403,0.3947239816,0.3475818336,0.229360044,0.5170981884,0.1673180312,0.5185637474,0.5935515165,0.2701514363,0.4279433191,0.5464093685,0.2970200181,0.3436736763,0.545676589
6,65,83,149,70,42,60,48,164,0.5945285559,0.1319003403,0.3947239816,0.3397655189,0.2215437293,0.508793354,0.1582804173,0.5185637474,0.5935515165,0.2701514363,0.4201270044,0.5464093685,0.2970200181,0.3436736763,0.545676589
6,72,112,183,84,37,98,75,272,0.5945285559,0.1319003403,0.3869076669,0.3397655189,0.2215437293,0.5009770393,0.1582804173,0.5107474327,0.5935515165,0.2701514363,0.4201270044,0.5464093685,0.2970200181,0.3436736763,0.545676589
6,63,132,270,106,44,144,85,237,0.6028333902,0.1319003403,0.3781143129,0.3397655189,0.2134831399,0.4636052847,0.1485100091,0.4931607246,0.5935515165,0.261846602,0.4123106897,0.5464093685,0.2970200181,0.3436736763,0.545676589
6,62,125,433,109,36,76,80,255,0.6028333902,0.1319003403,0.3781143129,0.3397655189,0.2134831399,0.4252564609,0.1404494345,0.4633610249,0.5857352018,0.261846602,0.4025402963,0.5464093685,0.2970200181,0.3436736763,0.5534929037
6,54,114,307,89,40,97,90,335,0.6028333902,0.1319003403,0.3695652187,0.3397655189,0.2051783055,0.4047386348,0.1319003403,0.4430874586,0.5769418478,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3436736763,0.5534929037
